"OKV_SCHEMA","DL_NAAM","DL_ID","DL_RUN_ID","PROCES_NAAM","DL_FREQUENTIE_INFO","PROCES_STATUS","VERSCHIL","TYPE_DL_NAAM","AANTAL_RUNS_PER_BRON","AANTAL_RUNS_GOED","AANTAL_RUNS_FOUT","RUN_FOUT","START_TIJD","EIND_TIJD"
"OKV_PEOPLESOFTHCM_PO","psh.pshdagelijks",68,3855,"DetecteerPakbon","weekdagelijks om 02:00 Uur","Afgebroken",2,"bestand",426,157,269,3,30-08-2022 15:07_43,30-08-2022 15:09_49
"OKV_PEOPLESOFTHCM_PO","psh.pshdagelijks",68,3855,"MasterBestandHarnas","weekdagelijks om 02:00 Uur","Afgebroken",2,"bestand",426,157,269,3,30-08-2022 15:07_39,30-08-2022 15:09_58
"OKV_PEOPLESOFTHCM_PO","psh.pshdagelijks",68,3855,"PlatBestandHarnas","weekdagelijks om 02:00 Uur","Afgebroken",2,"bestand",426,157,269,3,30-08-2022 15:07_40,30-08-2022 15:09_54
"OKV_PEOPLESOFTHCM_PO","psh.pshdagelijks",68,3853,"ControlerenPakbon","weekdagelijks om 02:00 Uur","Afgebroken",87,"bestand",426,157,269,3,30-08-2022 12:14_15,30-08-2022 13:41_00
"OKV_PEOPLESOFTHCM_PO","psh.pshdagelijks",68,3853,"MasterBestandHarnas","weekdagelijks om 02:00 Uur","Afgebroken",91,"bestand",426,157,269,3,30-08-2022 12:13_29,30-08-2022 13:44_11
"OKV_PEOPLESOFTHCM_PO","psh.pshdagelijks",68,3853,"PlatBestandHarnas","weekdagelijks om 02:00 Uur","Afgebroken",89,"bestand",426,157,269,3,30-08-2022 12:13_31,30-08-2022 13:42_17
"OKV_UPA_PO","upa.upadagelijks",53,3838,"DetecteerPakbon","dagelijks, alleen op werkdagen","Afgebroken",0,"bestand",507,476,31,3,30-08-2022 09:00_44,30-08-2022 09:00_54
"OKV_UPA_PO","upa.upadagelijks",53,3838,"MasterBestandHarnas","dagelijks, alleen op werkdagen","Afgebroken",0,"bestand",507,476,31,3,30-08-2022 09:00_39,30-08-2022 09:01_05
"OKV_UPA_PO","upa.upadagelijks",53,3838,"PlatBestandHarnas","dagelijks, alleen op werkdagen","Afgebroken",0,"bestand",507,476,31,3,30-08-2022 09:00_41,30-08-2022 09:00_59
"OKV_UPA_PO","upa.upadagelijks",53,3401,"DetecteerPakbon","dagelijks, alleen op werkdagen","Afgebroken",61,"bestand",507,476,31,3,01-07-2022 09:00_47,01-07-2022 10:01_53
"OKV_UPA_PO","upa.upadagelijks",53,3401,"MasterBestandHarnas","dagelijks, alleen op werkdagen","Afgebroken",61,"bestand",507,476,31,3,01-07-2022 09:00_42,01-07-2022 10:02_03
"OKV_UPA_PO","upa.upadagelijks",53,3401,"PlatBestandHarnas","dagelijks, alleen op werkdagen","Afgebroken",61,"bestand",507,476,31,3,01-07-2022 09:00_44,01-07-2022 10:01_58
"OKV_UPA_PO","upa.upadagelijks",53,3287,"DetecteerPakbon","dagelijks, alleen op werkdagen","Afgebroken",61,"bestand",507,476,31,3,06-06-2022 09:00_38,06-06-2022 10:01_44
"OKV_UPA_PO","upa.upadagelijks",53,3287,"MasterBestandHarnas","dagelijks, alleen op werkdagen","Afgebroken",61,"bestand",507,476,31,3,06-06-2022 09:00_33,06-06-2022 10:01_55
"OKV_UPA_PO","upa.upadagelijks",53,3287,"PlatBestandHarnas","dagelijks, alleen op werkdagen","Afgebroken",61,"bestand",507,476,31,3,06-06-2022 09:00_35,06-06-2022 10:01_49
"OKV_UPA_PO","upa.upadagelijks",53,3244,"ControlerenPakbon","dagelijks, alleen op werkdagen","Afgebroken",0,"bestand",507,476,31,3,30-05-2022 10:40_12,30-05-2022 10:40_29
"OKV_UPA_PO","upa.upadagelijks",53,3244,"MasterBestandHarnas","dagelijks, alleen op werkdagen","Afgebroken",1,"bestand",507,476,31,3,30-05-2022 10:39_26,30-05-2022 10:40_44
"OKV_UPA_PO","upa.upadagelijks",53,3244,"PlatBestandHarnas","dagelijks, alleen op werkdagen","Afgebroken",1,"bestand",507,476,31,3,30-05-2022 10:39_28,30-05-2022 10:40_38
"OKV_UPA_PO","upa.upadagelijks",53,3234,"DetecteerPakbon","dagelijks, alleen op werkdagen","Afgebroken",60,"bestand",507,476,31,3,26-05-2022 09:00_40,26-05-2022 10:00_46
"OKV_UPA_PO","upa.upadagelijks",53,3234,"MasterBestandHarnas","dagelijks, alleen op werkdagen","Afgebroken",60,"bestand",507,476,31,3,26-05-2022 09:00_36,26-05-2022 10:00_55
"OKV_UPA_PO","upa.upadagelijks",53,3234,"PlatBestandHarnas","dagelijks, alleen op werkdagen","Afgebroken",60,"bestand",507,476,31,3,26-05-2022 09:00_38,26-05-2022 10:00_51
"OKV_BAS_PO","bas.baswekelijks_ass",34,3220,"DetecteerPakbon","wekelijks","Afgebroken",61,"bestand",162,138,24,3,21-05-2022 06:00_30,21-05-2022 07:01_36
"OKV_BAS_PO","bas.baswekelijks_ass",34,3220,"MasterBestandHarnas","wekelijks","Afgebroken",61,"bestand",162,138,24,3,21-05-2022 06:00_26,21-05-2022 07:01_45
