"OKV_SCHEMA,""DL_NAAM"",""DL_FREQUENTIE_INFO"",""TYPE_DL_NAAM"",""AANTAL_RUNS_PER_BRON"",""AANTAL_RUNS_GOED"",""AANTAL_RUNS_FOUT"",""DL_RUN_ID"",""RUN_FOUT"",""DL_ID"",""PROCES_NAAM"",""PROCES_STATUS"",""START_TIJD"",""EIND_TIJD"",""VERSCHIL"""
"OKV_PEOPLESOFTHCM_PO,""psh.pshdagelijks"",""weekdagelijks om 02:00 Uur"",""bestand"",408,157,251,10074,1,68,""InlezenPakbon"",""Klaar"",05-01-2024 02:01_38,05-01-2024 02:01_53,0"
"OKV_PEOPLESOFTHCM_PO,""psh.pshdagelijks"",""weekdagelijks om 02:00 Uur"",""bestand"",408,157,251,10074,1,68,""Laden delta tabel"",""Klaar"",05-01-2024 02:05_34,05-01-2024 02:05_42,0"
"OKV_PEOPLESOFTHCM_PO,""psh.pshdagelijks"",""weekdagelijks om 02:00 Uur"",""bestand"",408,157,251,10074,1,68,""Laden technische HUB staging tabel"",""Klaar"",05-01-2024 02:05_08,05-01-2024 02:05_25,0"
"OKV_PEOPLESOFTHCM_PO,""psh.pshdagelijks"",""weekdagelijks om 02:00 Uur"",""bestand"",408,157,251,10074,1,68,""Laden technische staging tabel"",""Klaar"",05-01-2024 02:05_05,05-01-2024 02:05_22,0"
"OKV_PEOPLESOFTHCM_PO,""psh.pshdagelijks"",""weekdagelijks om 02:00 Uur"",""bestand"",408,157,251,10074,1,68,""LadenBestand"",""Klaar"",05-01-2024 02:02_54,05-01-2024 02:03_00,0"
"OKV_PEOPLESOFTHCM_PO,""psh.pshdagelijks"",""weekdagelijks om 02:00 Uur"",""bestand"",408,157,251,10074,1,68,""LadenBestanden"",""Klaar"",05-01-2024 02:02_47,05-01-2024 02:03_02,0"
"OKV_PEOPLESOFTHCM_PO,""psh.pshdagelijks"",""weekdagelijks om 02:00 Uur"",""bestand"",408,157,251,10074,1,68,""LadenBronzone"",""Klaar"",05-01-2024 02:04_56,05-01-2024 02:05_59,1"
"OKV_PEOPLESOFTHCM_PO,""psh.pshdagelijks"",""weekdagelijks om 02:00 Uur"",""bestand"",408,157,251,10074,1,68,""Maskeering"",""Afgebroken"",05-01-2024 02:03_44,05-01-2024 02:03_44,0"
"OKV_PEOPLESOFTHCM_PO,""psh.pshdagelijks"",""weekdagelijks om 02:00 Uur"",""bestand"",408,157,251,10074,1,68,""MasterBestandHarnas"",""Klaar"",05-01-2024 02:00_14,05-01-2024 02:06_13,6"
"OKV_PEOPLESOFTHCM_PO,""psh.pshdagelijks"",""weekdagelijks om 02:00 Uur"",""bestand"",408,157,251,10074,1,68,""PlatBestandHarnas"",""Klaar"",05-01-2024 02:00_17,05-01-2024 02:03_34,3"
